Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
Senegal,4.393999969482422,0.433285804485321,1.036208382148742,0.45066657051467895,0.350840453344345,0.1747857786340714,0.0986800895934104,2017.0
Serbia,5.339199996185302,1.000643515853882,1.166623959480286,0.7167889342613221,0.22739310564994816,0.1781611767635346,0.03849275612187386,2017.0
Sierra Leone,4.559200022125244,0.317502185743332,0.844369208995819,0.04951295077949762,0.339589538192749,0.24737818028450018,0.06778303520822526,2017.0
Singapore,6.542800005340576,1.592137533981324,1.231078872695922,1.0141864789848327,0.553412113899231,0.3032151962966918,0.46725555700683596,2017.0
Slovakia,6.108400009918212,1.246006711509704,1.379745848449708,0.7724845822219848,0.3070474929180146,0.1365688961839676,0.02319817032790184,2017.0
Slovenia,5.887999979400634,1.2605311909103398,1.3622997641525258,0.8529416455993651,0.5819531615142821,0.21146181865406039,0.045469795757770534,2017.0
Somalia,5.060250005722045,0.00566079607233405,0.6168203379821777,0.1529122842782735,0.6007267389965057,0.26122032779455173,0.2865525809049607,2017.5
Somaliland Region,5.057,0.25558,0.75862,0.33108,0.3913,0.51479,0.36794,2016.0
Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928,2015.0
South Africa,4.67519999923706,0.979869741134644,1.2581997264785758,0.28981401407527924,0.428229347114563,0.1257304759817124,0.07129989948081969,2017.0
South Korea,5.885399964141846,1.314553688591004,1.0461908881530761,0.9486088152084349,0.2489363331813812,0.1860968734378814,0.06520253371810913,2017.0
South Sudan,3.3825000200271598,0.3585471564388275,0.49237828193664546,0.198324000968933,0.11642060893654825,0.2426652042245865,0.11098587832450875,2017.5
Spain,6.351399975585938,1.298807572868348,1.399466180465698,0.9501081199798584,0.4109482460899354,0.16881071432495118,0.06985281942605973,2017.0
Sri Lanka,4.392600011444092,0.9370540288772581,1.141171277404786,0.6912521664390564,0.5323286509857178,0.3839847123260498,0.06841679323768615,2017.0
Sudan,4.24174998474121,0.60406917304039,1.0718321424293524,0.3173227059531213,0.0329514638198167,0.1719268626606465,0.1047093799984455,2016.5
Suriname,6.269,1.0461,0.8753299999999999,0.558765,0.559455,0.16827999999999999,0.131625,2015.5
Swaziland,4.5395,0.76153,1.1109200000000001,0.03783,0.30979,0.128295,0.0828,2017.0
Sweden,7.319199983978272,1.403981453804016,1.368574433891296,0.8989910316619873,0.6175808197937013,0.336511850435257,0.397501745721817,2017.0
Switzerland,7.511399991607666,1.472163910644532,1.417332349014282,0.9283182578964233,0.6206421153335573,0.2774318556518554,0.3797634570713044,2017.0
Syria,3.292199978637696,0.6991086268692015,0.35593052145004284,0.5662806684722901,0.08169988892507554,0.4312847456474304,0.1595474261074066,2017.0
Taiwan,6.391,1.3553175,1.2171025,0.8604875,0.3725425,0.2254275,0.0806475,2017.0
Taiwan Province of China,6.42199993133545,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2017.0
Tajikistan,5.097799977874756,0.4741067270889282,1.02942265499115,0.5900430249176025,0.41176134137916565,0.2311435287179946,0.12203742924880978,2017.0
Tanzania,3.4659999954223637,0.43977717523574816,0.939379960662842,0.3967318568992614,0.3868795555362702,0.3117492723445892,0.08369902135562896,2017.0
Thailand,6.28659995727539,1.050013754310608,1.312320491134644,0.7139778058815003,0.5652741463508606,0.4916766220588684,0.029762547048330302,2017.0
Togo,3.5441999771118162,0.26587094348144535,0.3235665060901642,0.288529113729477,0.36374722772789003,0.17477523014163981,0.10096900305604935,2017.0
Trinidad & Tobago,6.192,1.227,1.4845000000000002,0.6385,0.532,0.178,0.0175,2018.5
Trinidad and Tobago,6.168000073750814,1.2996353002548233,1.1831528398132332,0.553631097208659,0.5206669143422443,0.3210288205273947,0.010924938702781967,2016.0
Tunisia,4.728399965667724,0.9373271612396239,0.7620582919006348,0.6903824098014832,0.2451781379146576,0.050472671439886097,0.07000062976455687,2017.0
Turkey,5.4154,1.1510348748016361,1.1802486353378299,0.7021011215019226,0.2573561199264526,0.08105860838413238,0.11912231597948073,2017.0
Turkmenistan,5.582200005340576,1.047483352592468,1.365799832267762,0.5181292160835266,0.41589038580513,0.21767699751091,0.1834760680408478,2017.0
Uganda,4.020199970245362,0.318728143064499,1.066325547561646,0.2864985213251114,0.4285971910572052,0.27968921135520936,0.0630319437675476,2017.0
Ukraine,4.307200038909912,0.835918389881134,1.28288951361847,0.636816790424347,0.1687589551463128,0.20008829262351976,0.01838589416325092,2017.0
United Arab Emirates,6.744199952697754,1.64522667389679,1.069860046318054,0.7521956472740173,0.5388130540313719,0.2678263893013,0.31198239092588426,2017.0
United Kingdom,6.910000045013428,1.337566787948608,1.367932016029358,0.8817351877861022,0.5037600071640014,0.4246908317432404,0.24401761325073243,2017.0
United States,6.998800006103517,1.4559458568038939,1.3285701127395622,0.8216153255538939,0.5068821046676636,0.35507975613021864,0.1408437576684952,2017.0
Uruguay,6.4311999992370605,1.135557939048768,1.315311573806762,0.7829293647155762,0.574978450870514,0.1690113858146668,0.1885163745441436,2017.0
Uzbekistan,6.0462000389099115,0.7237582175445556,1.434099829917908,0.5917245255184174,0.6559877325897217,0.3275227294216156,0.2674236446313858,2017.0
Venezuela,5.5314,1.052468240196228,1.323263518997192,0.6837408454055787,0.213709424648285,0.05718592597913742,0.07144422459220887,2017.0
Vietnam,5.154599976348876,0.723415515094757,1.138384266220092,0.7226997978363038,0.577207118221283,0.19566361026287077,0.09192064744853974,2017.0
Yemen,3.6257999870300304,0.4893126894721984,0.8654484493942259,0.3654401831378936,0.244174744421959,0.09692904183053981,0.06704548454117773,2017.0
